01.01.;lv;Laimnesis Solvita Solvija
01.01.;lt;Mečislovas Eufrozina Mečys Eufrozija Arvaidė Arvaidas
01.01.;ee;Algo Alo Esmo Uno Uuno
01.02.;lv;Indulis Ivo Iva Ivis
01.02.;lt;Bazilijus Grigalius Gailutė Fulgentas Stefanija Mažvydas
01.02.;ee;Algi Esme Esmi
01.03.;lv;Miervaldis Miervalda Ringolds
01.03.;lt;Vida Vyda Viltautas Genovaitė
01.03.;ee;Gerhard Gert Keerdo Kert
01.04.;lv;Spodra Ilva Ilvita
01.04.;lt;Benas Arminė Andželika Anželika Arminas Arimantas Arimantė Titas Benediktas
01.04.;ee;Ruth Rutt
01.05.;lv;Sīmanis Zintis
01.05.;lt;Gaudentas Telesforas Simas Simonas Vytautė Vytautas
01.05.;ee;Lea Leana Liia
01.06.;lv;Spulga Arnita
01.06.;lt;Melchioras Arūnė Arūnas Merkelis Kasparas Baltazaras
01.06.;ee;Aabel Aabi Aabo Aap Aapo
01.07.;lv;Rota Zigmārs Juliāns Digmārs
01.07.;lt;Raimundas Valentinas Rūtenis Raudvilė Liucijus
01.07.;ee;Hirvo Kanut Nuut Susi
01.08.;lv;Gatis Ivanda
01.08.;lt;Teofilius Vilintas Teofilis Severinas Gintė Apolinaras
01.08.;ee;Gunnar Kunder Kunnar
01.09.;lv;Kaspars Aksels Alta
01.09.;lt;Julijonas Algis Bazilė Gabija Marcijona
01.09.;ee;Väiko Veigo Veiko Veli Veljo Vello Velvo Venda Vendo Venno
01.10.;lv;Tatjana Dorisa
01.10.;lt;Agatonas Vilhelmas Ginvilas Ginvilė Vilius
01.10.;ee;Talva Talve Talvi
01.11.;lv;Smaida Franciska
01.11.;lt;Palemonas Marcijonas Stefanija Vilnė Audrius
01.11.;ee;Osvald Ove
01.12.;lv;Reinis Reina Reinholds Renāts
01.12.;lt;Cezaris Cezarė Cezarijus Ernestas Arkadijus Vaigedas Cezarija Lingailė
01.12.;ee;Ande Antonia Tooni
01.13.;lv;Harijs Ārijs Āris Aira
01.13.;lt;Vera Hiliaras Gilvydė Veronika Dargaudas Iveta Raimonda
01.13.;ee;Hillar Hillo Illar Illart Illo
01.14.;lv;Roberts Roberta Raitis Raits
01.14.;lt;Lilija Laimis Feliksas Teodozijus Auksė Hilarijus
01.14.;ee;Feliks Õnneleid
01.15.;lv;Fēlikss Felicita
01.15.;lt;Povilas Meda Skirgaila Paulius Snieguolė
01.15.;ee;Salve Salvi Sõlmi
01.16.;lv;Lidija Lida
01.16.;lt;Norgailė Marcelis Norgailas
01.16.;ee;Illimar Ilmar Ilmo
01.17.;lv;Tenis Dravis
01.17.;lt;Dovainis Antanas Leonilė Vilda
01.17.;ee;Anto Anton Antu Hando Tõnis Tõnn Tõnno Tõnu
01.18.;lv;Antons Antis Antonijs
01.18.;lt;Liberta Jolita Gedgaudas Jogailė
01.18.;ee;Lauli Laura
01.19.;lv;Andulis Alnis
01.19.;lt;Marijus Morta Raivedys Gedvilė Marius Kanutas
01.19.;ee;Enn Enno Eno Heigo Heik Heiki Heiko Heino Hendrik Henn Henno Henri Henrik
01.20.;lv;Oļģerts Orests Aļģirds Aļģis
01.20.;lt;Daugvydas Fabijonas Nomeda Sebastijonas
01.20.;ee;Hendrika Henna Henni Henriette Jete
01.21.;lv;Agnese Agnija Agne
01.21.;lt;Ina Agnietė Ineta Ineza Inesa Garsė Galiginas
01.21.;ee;Age Agi Agne Agnes Agneta Aune Auni Ines Neta
01.22.;lv;Austris
01.22.;lt;Anastazas Skaistė Vincentas Gaudentas Džiugas Aušrius Vincas
01.22.;ee;Luule Luuli
01.23.;lv;Grieta Strauta Rebeka
01.23.;lt;Raimundas Gunda Gailigedas Armandas
01.23.;ee;Räni Reeno Rene
01.24.;lv;Krišs Ksenija Eglons Egle
01.24.;lt;Felicija Gaivilė Artūras Vilgaudas Pranciškus
01.24.;ee;Naima Naimi
01.25.;lv;Zigurds Sigurds Sigvards
01.25.;lt;Žiedė Povilas Viltenis Paulius
01.25.;ee;Paap Paavel Paavo Paul
01.26.;lv;Ansis Agnis Agneta
01.26.;lt;Timotiejus Titas Rimantas Justas Paulė Frėjus Frėja Eigilė Rimas
01.26.;ee;Ulve Ulvi
01.27.;lv;Ilze Ildze Izolde
