kuupäeva;nimepäev
01.01.;Algo Alo Esmo Uno Uuno
02.01.;Algi Esme Esmi
03.01.;Gerhard Gert Keerdo Kert
04.01.;Ruth Rutt
05.01.;Lea Leana Liia
06.01.;Aabel Aabi Aabo Aap Aapo
07.01.;Hirvo Kanut Nuut Susi
08.01.;Gunnar Kunder Kunnar
09.01.;Väiko Veigo Veiko Veli Veljo Vello Velvo Venda Vendo Venno
10.01.;Talva Talve Talvi
11.01.;Osvald Ove
12.01.;Ande Antonia Tooni
13.01.;Hillar Hillo Illar Illart Illo
14.01.;Feliks Õnneleid
15.01.;Salve Salvi Sõlmi
16.01.;Illimar Ilmar Ilmo
17.01.;Anto Anton Antu Hando Tõnis Tõnn Tõnno Tõnu
18.01.;Lauli Laura
19.01.;Enn Enno Eno Heigo Heik Heiki Heiko Heino Hendrik Henn Henno Henri Henrik
20.01.;Hendrika Henna Henni Henriette Jete
21.01.;Age Agi Agne Agnes Agneta Aune Auni Ines Neta
22.01.;Luule Luuli
23.01.;Räni Reeno Rene
24.01.;Naima Naimi
25.01.;Paap Paavel Paavo Paul
26.01.;Ulve Ulvi
27.01.;Vilja Vilje
28.01.;Kaarel Kaarli Kaaro Kalle Karel Karl Karli Karro
29.01.;Valmo Valter
30.01.;Irja Irje Jürja Jürje
31.01.;Meeland Meelik Meelis Meelit Meelitu Meelo Meelu
01.02.;Birgit Birgitta Gita Piret Pireta Pirja Pirje
02.02.;Leegi Säde
03.02.;Hubert Hugo Huko
04.02.;Arma Armi Armiida Meida Miida
05.02.;Aet Agaate Aita Ita Iti
06.02.;Doora Doris Dorotea Tea Thea
07.02.;Richard Riho Riko Riku
08.02.;Taalo Tali Talis Talvo
09.02.;Mehis Mehto
10.02.;Ella Elle Ellen Elli Ellu
11.02.;Teri Terje
12.02.;Alma Alme Elma Elme Elmi
13.02.;Eke Ike Iko
14.02.;Valentin Valjo Valju Valle Vallo Vallot Vallut
15.02.;Neidi Tiina
16.02.;Alda Aldi Miralda Miranda Valda Velda
17.02.;Salmo Väino Väinu
18.02.;Karita Karme Karmen Rita
19.02.;Ülla Ülle Ülli Ülve Ülvi
20.02.;Ardi Hardi Hardo Kardo Meinhard Meino
21.02.;Aavo Auvo Avo
22.02.;Häli Hela Heli Helin Helina Helis
23.02.;Lehar Leho Lehto
24.02.;Madi Madis Mäido Maido Maidu Mait Mati Matis Mats Matti Mattias
25.02.;Tormi Tuule Tuuli Tuulike
26.02.;Ingmar Ingo Ingvar Selmar
27.02.;Helbe Helve Helvi
28.02.;Vilmar Vilmer Vilmo
29.02.;Ulmi Une
01.03.;Albin Albo Alvin Armin
02.03.;Virge Virgi Virma Virme Virve Virvi
03.03.;Egle Haili Halliki Helliki
04.03.;Almar Eimar Elmar Elmer Elmet Elmo
05.03.;Laila Laili Leila Leili
06.03.;Tarmo Tarmu
07.03.;Ralf Raul Rolf Rudolf Ruudi Ruut
08.03.;Lepo Viilo Viilup Vilbo
09.03.;Edvin Heido Heivo
10.03.;Helda Helde Heldi
11.03.;Aigar Ain Ainar Innar Inno
12.03.;Rego Reio
13.03.;Erni Ernits Erno Ernst
14.03.;Malde Maldi Matilde Meta Milda Milde Tilde
15.03.;Valev Valvik Valvo
16.03.;Heero Herbert Herbi
17.03.;Gerda Gertrud Kärdi Kärt Kerli Kert Kertu Ruta Ruuta Truude Truuta
18.03.;Edi Eduard Eedi Eedo Eedu
19.03.;Joosep Joosu
20.03.;Malve Malvi Malviine
21.03.;Küllo Külvo Pendo Pent
22.03.;Viktor Viktoria
23.03.;Ailo Aksel
24.03.;Albe Albi Albina
25.03.;Maari Maarika Maarja Manni Mari Maria Marie Marika Marili Marja Marje Marjo Marju
26.03.;Imand Imant Immo
27.03.;Laide Laidi Leia Leida Leidi
28.03.;Arm Armas Armo Kallis
29.03.;Joakim Joonas Kimmo
30.03.;Pille Sibülle
31.03.;Härmi Hermi Irma Irmgard Irmi
01.04.;Harald Harri Harro Herald
02.04.;Ene Eneken Enel Eneli Enelin
03.04.;Uko Uku
04.04.;Ambrus Arbo Arp Arpo
05.04.;Ireene Irene Reena Reene Rena Renate
06.04.;Ville Villem Villi Villo Villu
07.04.;Allan Allo
08.04.;Julia Juuli Juulika Lia Liana Liane
09.04.;Iiris Kaira Kaire Kairi
10.04.;Hindrek Imre Indrek Ints
11.04.;Hurme Hurmi Urmi
12.04.;Julius Udo Ullo Ulrik Uudo
13.04.;Tarvi Tarvo
14.04.;Lehe Lehte Lehti
15.04.;Uljas Uljo Verner Verni
16.04.;Olivia Olve Olvi
17.04.;Ege Eike Hiie
18.04.;Valdek Valdeko Valdemar Valdo Valdu Valdur Valmar Valmer Voldemar Volli Volmer
19.04.;Aalike Aleksandra Alli Allo Andra Sandra
20.04.;Orvi Urbe Urva Urve Urvi
21.04.;Aimar Aimer Aimo Aimur
22.04.;Meeri Meri Merike Merje
23.04.;Georg Jürgen Jürgo Jüri Jürjo Jürnas Jüts Ürjo
24.04.;Aada Iida Vaida Vanda
25.04.;Marek Margo Margus Mark Marko Markus
26.04.;Eesi Reesi Teesi Teisi Tereese
27.04.;Haldi Haldja Halja
28.04.;Lagle Luige
29.04.;Kalmer Kalmo
30.04.;Miia Mirja Mirjam Mirje
01.05.;Valba Valbe Valli Volber
02.05.;Maaja Mai Maia Maie Maiu
03.05.;Endel Endo
04.05.;Roosi Rosalie Saale Saali Sale
05.05.;Loit Loomet
06.05.;Aasa Aase Asse
07.05.;Helma Helme Helmeles Helmi
08.05.;Timmo Timmu Timo
09.05.;Kahru Ott Otto
10.05.;Aina Aini Ainike Aino Ainu
11.05.;Leevo Liivar Liivo
12.05.;Rünno Tapper Võitur Vootele
13.05.;Õie Õile Õili Õilme
14.05.;Edith Eede Eedit
15.05.;Sofia Viia Viiu
16.05.;Esta Este Ester Esti
17.05.;Taido Taidur Taimar Taimo Taivo
18.05.;Eeri Eerik Eero Ergi Ergo Erich Erik Erki Erko
19.05.;Emilie Emma Miili Milja Milla Milli
20.05.;Liili Liilia Lilian Lilja Lille Lilli
21.05.;Kindel Konstantin Kostel Tiino
22.05.;Leivo Oliver
23.05.;Lii Liidi Liidia Ly Lydia
24.05.;Alar Alari Allar Aller
25.05.;Urban Urbo Urve Urves
26.05.;Miina Minna Valme Valmi Vella Velli Vilma Vilme
27.05.;Kalvi Klaudia
28.05.;Roman Roome Roomet Roomo
29.05.;Laido Leido Leidur Luulik
30.05.;Argo Arro
31.05.;Elga Helga Helge Helgi Helja Helje Heljo Helju Olga Olli
01.06.;Sireli Sirelin Sirle Sirli
02.06.;Veevi Viiva Viive Viivi Viivia Viivika Vivian
03.06.;Jolanta Kanni Kannike Viola
04.06.;Toivo Tõivo Tõivot Tõivotu Tõivu
05.06.;Vilimo Viljar Viljer Viljo Vilju
06.06.;Pärle Piibe
07.06.;Robert Robi
08.06.;Enda Endla Enna Enne
09.06.;Elar Haljand Hallar Helar Helari Hellar
10.06.;Amalie Maali Maila Maile Maili Mailis
11.06.;Imbi Imme
12.06.;Eskel Esko
13.06.;Monika Mooni Moonika
14.06.;Leina Leine Leini
15.06.;Guido Kuido Viido Viit
16.06.;Heelia Päive Päivi
17.06.;Eugen Kenno
18.06.;Auli Aurelia Auri Reeli Reelika Reili
19.06.;Sigrid Siiri Siivi
20.06.;Kaari Karlotte Karola Karoliine Karolin Lota
21.06.;Ahti Ahto
22.06.;Liina Liine Paula Pauliine
23.06.;Kalev Malev Malvo
24.06.;Annes Ants Hannes Hans Jaan Jan Janno Johan Johannes Juhan Juho Jukk Juss Kanek
25.06.;Inna Lenna Linda
26.06.;Manivald Vaane Vaano Vaino Vane Vanevald
27.06.;Elfi Elfriide Elva Elve Elvi Elviira Viire
28.06.;Leo Leopold
29.06.;Peedo Peedu Peep Peet Peeter
30.06.;Helend Päivo Päivu
01.07.;Eha Ehala Hämarik
02.07.;Milve Milvi
03.07.;Arvo Aulik
04.07.;Virgo Virmo Virvo
05.07.;Kaja Kajar
06.07.;Sulev Sulo
07.07.;Koidu Koidula
08.07.;Eleonoora Ellinor Leonoora Loora Loore Noora Nora
09.07.;Aive Aivi
10.07.;Saima Saime Saimi
11.07.;Asko Askur
12.07.;Armand Härm Härmel Härmo Herman Hermann Hermo
13.07.;Greta Grete Kreet Kreeta Mare Maret Mareta Margareeta Marge Margit Marit Marita Meeta Reeda Reet
14.07.;Joel Joosua
15.07.;Ragne Raina Raine Raini
16.07.;Rein Reinhold Reino Reinu Reinut Rinaldo Ronald
17.07.;Meeme Meemo
18.07.;Eerika Erika
19.07.;Saara Saare Saari Salli
20.07.;Elias Erland Liias
21.07.;Tambet Tulev
22.07.;Leen Leena Leeni Made Madli Magda Magdaleena Mall Malle
23.07.;Saida Seida Senta Siina
24.07.;Kersti Kerstin Kirsti Krista Kristel Kristi Kristiina Kristin Kristina Rista Riste
25.07.;Jaagup Jaak Jaako Jaap Jako Jakob Jass
26.07.;Anete Anita Ann Anna Anne Anneli Anni Annika Anu
27.07.;Marta Marve Marvi
28.07.;Maasika Vaarika
29.07.;Olaf Olav Olavi Olev
30.07.;Kerman Kermo Roland
31.07.;Ave Meevi
01.08.;Maira Maire Mairi Maris
02.08.;Helger Helgo Holger Olger
03.08.;Kaljo Kalju
