Data;Vardadienis
01.01.;Mečislovas Eufrozina Mečys Eufrozija Arvaidė Arvaidas
02.01.;Bazilijus Grigalius Gailutė Fulgentas Stefanija Mažvydas
03.01.;Vida Vyda Viltautas Genovaitė
04.01.;Benas Arminė Andželika Anželika Arminas Arimantas Arimantė Titas Benediktas
05.01.;Gaudentas Telesforas Simas Simonas Vytautė Vytautas
06.01.;Melchioras Arūnė Arūnas Merkelis Kasparas Baltazaras
07.01.;Raimundas Valentinas Rūtenis Raudvilė Liucijus
08.01.;Teofilius Vilintas Teofilis Severinas Gintė Apolinaras
09.01.;Julijonas Algis Bazilė Gabija Marcijona
10.01.;Agatonas Vilhelmas Ginvilas Ginvilė Vilius
11.01.;Palemonas Marcijonas Stefanija Vilnė Audrius
12.01.;Cezaris Cezarė Cezarijus Ernestas Arkadijus Vaigedas Cezarija Lingailė
13.01.;Vera Hiliaras Gilvydė Veronika Dargaudas Iveta Raimonda
14.01.;Lilija Laimis Feliksas Teodozijus Auksė Hilarijus
15.01.;Povilas Meda Skirgaila Paulius Snieguolė
16.01.;Norgailė Marcelis Norgailas
17.01.;Dovainis Antanas Leonilė Vilda
18.01.;Liberta Jolita Gedgaudas Jogailė
19.01.;Marijus Morta Raivedys Gedvilė Marius Kanutas
20.01.;Daugvydas Fabijonas Nomeda Sebastijonas
21.01.;Ina Agnietė Ineta Ineza Inesa Garsė Galiginas
22.01.;Anastazas Skaistė Vincentas Gaudentas Džiugas Aušrius Vincas
23.01.;Raimundas Gunda Gailigedas Armandas
24.01.;Felicija Gaivilė Artūras Vilgaudas Pranciškus
25.01.;Žiedė Povilas Viltenis Paulius
26.01.;Timotiejus Titas Rimantas Justas Paulė Frėjus Frėja Eigilė Rimas
27.01.;Anelė Angelė Jogundas Jogundė Natalis Ilona
28.01.;Leonidas Nijolė Manfredas Gedautas Tomas
29.01.;Aivaras Girkantas Žibutė Valerijus
30.01.;Ipolitas Hiacinta Liuda Liudvika Banguolė Martė Milgaudas Martyna Jacinta
31.01.;Luiza Marcelė Skirmantas Liudvika Budvilė Skirmantė
01.02.;Pijonijus Gytautas Eidvilė Ignotas Brigita
02.02.;Orintas Orinta Oreta Oretas Valdonė Rytis Kandidas Valdas Valdemaras Vandenė Rytys
03.02.;Asta Blažys Oskaras Blažiejus Radvilas Radvilė
04.02.;Vydmantas Andriejus Joana Vidmantas Andrius Arvilė
05.02.;Birutė Agota Gaudvinas
06.02.;Urtė Rona Povilas Živilė Roneta Dorotėja Dorotas Oksana Paulius Titas Alkis Žyvilė Darata
07.02.;Jomantė Ričardas Vildaugas Vilgirdas Vilgirdė Romualdas
08.02.;Aldona Dromantas Jeronimas Daugvilė Saliamonas Honorata Salys
09.02.;Algė Joviltas Polė Erika Apolonija Erikas Marijus
10.02.;Girvydas Vydgailė Gabrielius Elvyra Skolė Skolastika
11.02.;Algirdė Liucijus Adolfas Evelina Teodora Algirdas
12.02.;Deimantas Eulalija Deimantė Mantminas Reginaldas Benediktas
