Datums;Vārdadienas
01.01.;Laimnesis Solvita Solvija
02.01.;Indulis Ivo Iva Ivis
03.01.;Miervaldis Miervalda Ringolds
04.01.;Spodra Ilva Ilvita
05.01.;Sīmanis Zintis
06.01.;Spulga Arnita
07.01.;Rota Zigmārs Juliāns Digmārs
08.01.;Gatis Ivanda
09.01.;Kaspars Aksels Alta
10.01.;Tatjana Dorisa
11.01.;Smaida Franciska
12.01.;Reinis Reina Reinholds Renāts
13.01.;Harijs Ārijs Āris Aira
14.01.;Roberts Roberta Raitis Raits
15.01.;Fēlikss Felicita
16.01.;Lidija Lida
17.01.;Tenis Dravis
18.01.;Antons Antis Antonijs
19.01.;Andulis Alnis
20.01.;Oļģerts Orests Aļģirds Aļģis
21.01.;Agnese Agnija Agne
22.01.;Austris
23.01.;Grieta Strauta Rebeka
24.01.;Krišs Ksenija Eglons Egle
25.01.;Zigurds Sigurds Sigvards
26.01.;Ansis Agnis Agneta
27.01.;Ilze Ildze Izolde
28.01.;Kārlis Spodris
29.01.;Aivars Valērijs Bille
30.01.;Tīna Valentīna Pārsla
31.01.;Tekla Violeta
01.02.;Brigita Indra Indars Indris
02.02.;Spīdola Sonora
03.02.;Aīda Ida Vida
04.02.;Daila Veronika Dominiks
05.02.;Agate Selga Silga Sinilga
06.02.;Dace Dārta Dora Daris
07.02.;Nelda Rihards Ričards Rišards
08.02.;Aldona Česlavs
09.02.;Simona Apolonija
10.02.;Paulīne Paula Jasmīna
11.02.;Laima Laimdota
12.02.;Karlīna Līna
13.02.;Malda Melita
14.02.;Valentīns
15.02.;Alvils Olafs Aloizs Olavs
16.02.;Jūlija Džuljeta
17.02.;Donats Konstance
18.02.;Kora Kintija
19.02.;Zane Zuzanna
20.02.;Vitauts Smuidra Smuidris
21.02.;Eleonora Ariadne
22.02.;Ārija Rigonda Adrians Adriāna Adrija
23.02.;Haralds Almants
24.02.;Diāna Dina Dins
25.02.;Alma Annemarija
26.02.;Evelīna Aurēlija Mētra
27.02.;Līvija Līva Andra
28.02.;Skaidrīte Justs Skaidra
29.02.;–
01.03.;Ivars Ilgvars
02.03.;Lavīze Luīze Laila
03.03.;Tālis Tālavs Marts
04.03.;Alise Auce Enija
05.03.;Austra Aurora Aurika
06.03.;Vents Centis Gotfrīds
07.03.;Ella Elmīra
08.03.;Dagmāra Marga Margita
09.03.;Ēvalds
10.03.;Silvija Laimrota Liliāna
11.03.;Konstantīns Agita
12.03.;Aija Aiva Aivis
13.03.;Ernests Balvis
14.03.;Matilde Ulrika
15.03.;Amilda Amalda Imalda
16.03.;Guntis Guntars Guntris
17.03.;Ģertrūde Gerda Gerhards
18.03.;Ilona Adelīna
19.03.;Jāzeps Juzefa
20.03.;Made Irbe
21.03.;Una Unigunde Dzelme Benedikts Benedikta
22.03.;Tamāra Dziedra Gabriels Gabriela
23.03.;Mirdza Žanete Žanna
24.03.;Kazimirs Izidors
25.03.;Māra Mārīte Marita Mare Ģedimins
26.03.;Eiženija Ženija
27.03.;Gustavs Gusts Tālrīts Saulis
28.03.;Gunta Ginta Gunda
29.03.;Aldonis Agija
30.03.;Nanija Ilgmārs
31.03.;Gvido Atvars
01.04.;Dagnis Dagne
02.04.;Irmgarde
03.04.;Daira Dairis Daiva Daivis
04.04.;Valda Herta Ārvalda Ārvalds Ārvaldis
05.04.;Vija Vidaga Aivija
06.04.;Zinta Vīlips Filips Dzinta Dzintis
07.04.;Zina Zinaīda Helmuts
08.04.;Edgars Danute Dana Dans
09.04.;Valērija Žubīte Alla
10.04.;Anita Anitra Zīle Annika
11.04.;Hermanis Vilmārs
12.04.;Jūlijs Ainis
13.04.;Egils Egīls Nauris
14.04.;Strauja Gudrīte
15.04.;Aelita Gastons
16.04.;Mintauts Alfs Bernadeta
17.04.;Rūdolfs Viviāna Rūdis
18.04.;Laura Jadviga
19.04.;Vēsma Fanija
20.04.;Mirta Ziedīte Meija
21.04.;Marģers Anastasija
22.04.;Armands Armanda
23.04.;Jurģis Juris Georgs Jurgita
24.04.;Visvaldis Nameda Ritvaldis Ritums
25.04.;Līksma Bārbala
26.04.;Alīna Sandris Rūsiņš
27.04.;Tāle Raimonda Raina Klementīne
28.04.;Gundega Terēze
29.04.;Vilnis Raimonds Laine
30.04.;Lilija Liāna
01.05.;Ziedonis
02.05.;Zigmunds Sigmunds Zigismunds
03.05.;Gints Uvis
04.05.;Vizbulīte Viola Vijolīte
05.05.;Ģirts Ģederts
06.05.;Gaidis Didzis
07.05.;Henriete Henrijs Jete Enriko
08.05.;Staņislavs Staņislava Stefānija
09.05.;Klāvs Einārs Ervīns
10.05.;Maija Paija
11.05.;Milda Karmena Manfreds
12.05.;Valija Ināra Ina Inārs
13.05.;Irēna Irīna Ira Iraīda
14.05.;Krišjānis Elfa Aivita Elvita
15.05.;Sofija Taiga Airita Arita
16.05.;Edvīns Edijs
17.05.;Herberts Dailis Umberts
18.05.;Inese Inesis Ēriks
19.05.;Lita Sibilla Teika
20.05.;Venta Salvis Selva
21.05.;Ernestīne Ingmārs Akvelīna
22.05.;Emīlija. Visu neparasto un kalendāros neierakstīto vārdu diena
23.05.;Leontīne Leokādija Lonija Ligija
24.05.;Ilvija Marlēna Ziedone
25.05.;Anšlavs Junora
26.05.;Edvards Edvarts Eduards Varis
27.05.;Dzidra Gunita Loreta Dzidris
28.05.;Vilis Vilhelms
29.05.;Maksis Maksims Raivis Raivo
30.05.;Vitolds Lolita Letīcija
31.05.;Alīda Jūsma
01.06.;Biruta Mairita Bernedīne
02.06.;Lība Emma
03.06.;Inta Ineta Intra
04.06.;Elfrīda Sintija Sindija
05.06.;Igors Margots Ingvars
06.06.;Ingrīda Ardis
07.06.;Gaida Arnis Arno
08.06.;Frīdis Frīda Mundra
09.06.;Ligita Gita
10.06.;Malva Anatols Anatolijs
